department,first_name,last_name,rmp_score,num_reviews,profile_url
Biology,Alyson,Santoro,5.0,4,https://ucsbplat.com/instructor/VGVhY2hlci0yMzU1MDc1
Biology,Russell,Schmitt,4.8,4,https://ucsbplat.com/instructor/VGVhY2hlci0yNDYxODM0
Biology,Sung,Kim,3.8,4,https://ucsbplat.com/instructor/VGVhY2hlci0yNjcxODY2
Biology,Ryoko,Oono,2.2,4,https://ucsbplat.com/instructor/VGVhY2hlci0xOTk0MzQz
Biology,Meghan,Morrissey,5.0,4,https://ucsbplat.com/instructor/VGVhY2hlci0yOTE0OTk3
Biology,Stephen,Proulx,3.7,3,https://ucsbplat.com/instructor/VGVhY2hlci0xODg3NzM4
Biology,Nate,Emery,3.0,3,https://ucsbplat.com/instructor/VGVhY2hlci0yMDA5OTEw
Biology,Lizzy,Wilbanks,5.0,3,https://ucsbplat.com/instructor/VGVhY2hlci0yNjEwMjg1
Biology,Kelly,Thomasson,2.3,81,https://ucsbplat.com/instructor/VGVhY2hlci0yMzM2Njk0
Biology,Lalo,Gonzalez,2.8,59,https://ucsbplat.com/instructor/VGVhY2hlci0yMDk1OTg0
Biology,Diego,Acosta-Alvear,2.5,48,https://ucsbplat.com/instructor/VGVhY2hlci0yMjYyMDU0
Biology,Thomas,Turner,3.9,27,https://ucsbplat.com/instructor/VGVhY2hlci0xNTUwOTgz
Biology,Anthony,Tomaso,3.1,23,https://ucsbplat.com/instructor/VGVhY2hlci0yMTEyOTk1
Biology,Stephen,Poole,3.7,19,https://ucsbplat.com/instructor/VGVhY2hlci0xMjQ4NDc0
Biology,Chris,Richardson,4.7,18,https://ucsbplat.com/instructor/VGVhY2hlci0yNjc0MTg5
Biology,Christopher,Evelyn,3.1,15,https://ucsbplat.com/instructor/VGVhY2hlci0yMjEzNjAx
Biology,Matthieu,Louis,3.4,14,https://ucsbplat.com/instructor/VGVhY2hlci0yNTAxNjMx
Biology,Eduardo,Gonzalez,3.4,12,https://ucsbplat.com/instructor/VGVhY2hlci0yMDk1OTgw
Biology,Michael,Shahandeh,3.2,12,https://ucsbplat.com/instructor/VGVhY2hlci0yMzQ2NDU5
Biology,Shane,Nourizadeh,5.0,11,https://ucsbplat.com/instructor/VGVhY2hlci0yMTUwMTI4
Biology,Bretton,Fletcher,1.4,10,https://ucsbplat.com/instructor/VGVhY2hlci0yNzMyMjQw
Biology,Roshni,George,2.2,9,https://ucsbplat.com/instructor/VGVhY2hlci0xOTEzMjIw
Biology,Evangeline,Ballerini,3.8,9,https://ucsbplat.com/instructor/VGVhY2hlci0yMDc5OTc2
Biology,Tau-Mu,Yi,3.1,8,https://ucsbplat.com/instructor/VGVhY2hlci0yMTA0NjMw
Biology,Jamey,Marth,2.6,7,https://ucsbplat.com/instructor/VGVhY2hlci0xNzAxNDc3
Biology,Carolina,Arias,4.2,6,https://ucsbplat.com/instructor/VGVhY2hlci0yNTAxODA3
Biology,Roger,Nisbet,3.3,6,https://ucsbplat.com/instructor/VGVhY2hlci0xMDIyODg5
Biology,Bruce,Mahall,2.4,6,https://ucsbplat.com/instructor/VGVhY2hlci0xMTE1MTQy
Biology,Haley,Smith,1.3,6,https://ucsbplat.com/instructor/VGVhY2hlci0yNzA2NjA3
Biology,Andrew,Stewart,4.6,5,https://ucsbplat.com/instructor/VGVhY2hlci0xMzAwOTg4
Biology,Debora,Iglesias-Rodriguez,1.2,5,https://ucsbplat.com/instructor/VGVhY2hlci0yNjEwMjc2
Biology,Halley,Froehlich,3.8,4,https://ucsbplat.com/instructor/VGVhY2hlci0yNjEwMjc1
Biology,Scott,Cooper,4.9,4,https://ucsbplat.com/instructor/VGVhY2hlci0xMjI1Njg2
Biology,James,Childress,1.0,4,https://ucsbplat.com/instructor/VGVhY2hlci0yNjEwMjc0
Biology,Douglas,Bush,1.9,4,https://ucsbplat.com/instructor/VGVhY2hlci0xNTUzOTU0
Biology,Ian,Tayler,4.8,4,https://ucsbplat.com/instructor/VGVhY2hlci0zMDIzOTQ2
